id,year,season,scheme,state_name,state_code,district_name,district_code,farmer_count,loanee,non_loanee,area_insured,sum_insured,farmer_share,goi_share,state_share,male,female,transgender,sc,st,obc,gen,marginal,small,other,iu_count,gross_premium,total_farmers,gender_gap_pct,small_marginal_share_pct,loanee_share_pct,non_loanee_share_pct
0,2018,Kharif,PMFBY,Andhra Pradesh,28,Anantapur,502,11455,11494,587,17.44,9493.41,453.87,285.46,285.46,66.56,33.44,0.0,6.66,0.44,60.19,32.71,6.32,84.97,8.71,85,1024.79,12081,33.12,91.29,95.14,4.86
1,2018,Kharif,PMFBY,Andhra Pradesh,28,Chittoor,503,22511,23368,16,18.82,22410.65,792.39,50.93,50.93,70.52,29.42,0.06,6.41,0.81,39.9,52.88,16.82,75.32,7.86,614,894.25,23384,41.1,92.14,99.93,0.07
2,2018,Kharif,PMFBY,Andhra Pradesh,28,East Godavari,505,152813,162278,3516,97.88,71316.82,1482.17,2984.87,2984.87,64.45,35.49,0.06,4.81,1.34,37.67,56.18,12.82,81.93,5.25,1198,7451.91,165794,28.96,94.75,97.88,2.12
3,2018,Kharif,PMFBY,Andhra Pradesh,28,Guntur,506,18045,18446,2044,16.75,12411.11,255.87,128.45,128.45,65.49,34.43,0.08,5.92,0.68,47.91,45.49,23.66,69.2,7.14,402,512.77,20490,31.06,92.86,90.02,9.98
4,2018,Kharif,PMFBY,Andhra Pradesh,28,Krishna,510,77733,83378,215,60.88,56967.44,1196.91,1244.66,1244.66,68.06,31.9,0.04,5.21,0.5,34.74,59.55,31.88,60.8,7.32,836,3686.23,83593,36.16,92.68,99.74,0.26
5,2018,Kharif,PMFBY,Andhra Pradesh,28,Kurnool,511,59213,58255,3870,76.17,58474.66,2230.09,2467.13,2467.13,73.25,26.7,0.05,6.65,1.36,54.25,37.74,14.59,68.71,16.7,636,7164.35,62125,46.55,83.3,93.77,6.23
6,2018,Kharif,PMFBY,Andhra Pradesh,28,Prakasam,517,30066,10606,29238,33.18,20343.34,614.31,779.25,779.25,70.84,29.13,0.03,5.57,1.0,34.49,58.94,13.02,79.99,6.99,505,2172.81,39844,41.71,93.01,26.62,73.38
7,2018,Kharif,PMFBY,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,Unknown,15036,15599,48,19.36,13623.14,241.66,0.0,0.0,65.39,34.59,0.02,10.62,1.02,46.53,41.83,20.58,67.52,11.9,838,241.66,15647,30.8,88.1,99.69,0.31
8,2018,Kharif,PMFBY,Andhra Pradesh,28,Srikakulam,519,162348,177026,1464,120.51,91096.38,1860.72,1631.34,1631.34,74.06,25.9,0.04,1.9,2.19,68.84,27.07,11.45,83.37,5.18,1753,5123.4,178490,48.16,94.82,99.18,0.82
9,2018,Kharif,PMFBY,Andhra Pradesh,28,Visakhapatnam,Unknown,30121,29026,4197,18.86,17621.06,380.62,183.11,183.11,73.82,26.14,0.04,1.56,6.92,42.98,48.54,23.13,68.41,8.46,1033,746.84,33223,47.68,91.54,87.37,12.63
10,2018,Kharif,PMFBY,Andhra Pradesh,28,Vizianagaram,521,59540,60818,5990,45.44,34155.51,709.01,538.47,538.47,72.7,27.27,0.03,2.03,4.38,70.06,23.53,13.6,76.48,9.92,1298,1785.95,66808,45.43,90.08,91.03,8.97
11,2018,Kharif,PMFBY,Andhra Pradesh,28,West Godavari,523,141153,149790,1670,87.95,62631.75,1284.93,1753.89,1753.89,61.54,38.32,0.14,3.93,0.13,39.04,56.9,11.58,84.0,4.42,787,4792.71,151460,23.22,95.58,98.9,1.1
12,2018,Kharif,PMFBY,Andhra Pradesh,28,Y.S.R,Unknown,55340,53916,7781,80.69,66631.05,3046.08,2530.25,2530.25,67.97,31.91,0.12,5.04,0.55,28.41,66.0,17.51,61.27,21.22,400,8106.58,61697,36.06,78.78,87.39,12.61
13,2018,Kharif,WBCIS,Andhra Pradesh,28,Anantapur,502,530381,554393,260,898.02,427253.54,8589.3,23135.37,23135.37,67.99,31.96,0.05,7.15,3.58,54.0,35.27,15.21,64.6,20.19,63,54860.04,554653,36.03,79.81,99.95,0.05
14,2018,Kharif,WBCIS,Andhra Pradesh,28,Chittoor,503,32478,20405,13573,27.45,19028.48,666.72,428.02,428.02,75.3,24.67,0.03,5.09,1.85,34.3,58.76,12.79,75.58,11.63,57,1522.76,33978,50.63,88.37,60.05,39.95
15,2018,Kharif,WBCIS,Andhra Pradesh,28,East Godavari,505,80,92,0,0.2,121.44,6.07,1.82,1.82,65.22,34.78,0.0,0.0,0.0,8.7,91.3,8.7,23.91,67.39,18,9.71,92,30.44,32.61,100.0,0.0
16,2018,Kharif,WBCIS,Andhra Pradesh,28,Guntur,506,10077,10171,821,8.24,11767.03,588.35,199.32,199.32,71.22,28.68,0.1,3.27,3.05,48.28,45.4,12.62,74.09,13.29,53,986.99,10992,42.54,86.71,92.53,7.47
17,2018,Kharif,WBCIS,Andhra Pradesh,28,Krishna,510,97,98,0,0.12,164.42,8.22,4.11,4.11,63.27,36.73,0.0,2.04,0.0,47.96,50.0,40.82,44.9,14.28,6,16.44,98,26.54,85.72,100.0,0.0
18,2018,Kharif,WBCIS,Andhra Pradesh,28,Kurnool,511,53833,53193,2075,94.16,42385.75,848.78,1906.47,1906.47,73.03,26.85,0.12,6.22,2.96,55.17,35.65,17.21,64.21,18.58,48,4661.72,55268,46.18,81.42,96.25,3.75
19,2018,Kharif,WBCIS,Andhra Pradesh,28,Prakasam,517,3599,1139,2703,3.01,2825.57,141.28,29.69,29.69,73.92,26.08,0.0,3.33,0.57,26.34,69.76,13.59,79.98,6.43,47,200.66,3842,47.84,93.57,29.65,70.35
20,2018,Kharif,WBCIS,Andhra Pradesh,28,West Godavari,523,308,319,6,0.6,482.25,24.11,7.23,7.23,70.46,29.54,0.0,2.77,0.0,25.85,71.38,16.62,51.08,32.3,19,38.57,325,40.92,67.7,98.15,1.85
21,2018,Kharif,WBCIS,Andhra Pradesh,28,Y.S.R,Unknown,91805,94943,545,129.97,65194.43,1317.89,3130.11,3130.11,68.48,31.48,0.04,4.53,1.51,30.02,63.94,15.0,68.78,16.22,42,7578.11,95488,37.0,83.78,99.43,0.57
22,2018,Kharif,PMFBY,Assam,18,Baksa,616,335,330,16,0.2,117.7,2.39,2.14,2.14,96.82,2.89,0.29,1.73,66.76,3.76,27.75,77.46,15.32,7.22,2,6.67,346,93.93,92.78,95.38,4.62
23,2018,Kharif,PMFBY,Assam,18,Barpeta,280,766,767,0,0.59,351.97,7.04,0.0,0.0,95.57,4.43,0.0,0.13,11.73,1.69,86.45,43.68,56.06,0.26,5,7.04,767,91.14,99.74,100.0,0.0
24,2018,Kharif,PMFBY,Assam,18,Bongaigaon,281,541,543,0,0.38,225.93,4.52,8.83,8.83,94.66,5.34,0.0,2.39,8.66,10.5,78.45,54.7,13.08,32.22,2,22.18,543,89.32,67.78,100.0,0.0
25,2018,Kharif,PMFBY,Assam,18,Cachar,282,693,665,37,0.37,218.35,4.37,1.31,1.31,91.31,8.69,0.0,4.13,0.43,5.84,89.6,40.03,12.11,47.86,5,6.99,702,82.62,52.14,94.73,5.27
26,2018,Kharif,PMFBY,Assam,18,Chirang,612,179,181,0,0.27,158.5,3.2,3.79,3.79,82.32,17.68,0.0,0.55,92.27,0.55,6.63,92.82,6.08,1.1,1,10.78,181,64.64,98.9,100.0,0.0
27,2018,Kharif,PMFBY,Assam,18,Darrang,283,53,54,0,0.04,25.08,0.04,0.0,0.0,98.15,1.85,0.0,0.0,0.0,16.67,83.33,68.52,20.37,11.11,1,0.04,54,96.3,88.89,100.0,0.0
28,2018,Kharif,PMFBY,Assam,18,Dhemaji,284,70,70,1,0.08,47.99,0.96,0.11,0.11,85.92,14.08,0.0,2.82,32.39,52.11,12.68,52.11,19.72,28.17,4,1.18,71,71.84,71.83,98.59,1.41
29,2018,Kharif,PMFBY,Assam,18,Dhubri,285,534,536,0,0.26,155.36,3.11,3.25,3.25,85.45,14.55,0.0,0.56,0.0,2.43,97.01,64.55,35.26,0.19,3,9.61,536,70.9,99.81,100.0,0.0
30,2018,Kharif,PMFBY,Assam,18,Dibrugarh,286,679,597,94,0.49,290.37,4.59,0.0,0.0,76.12,23.88,0.0,7.09,11.87,49.06,31.98,56.3,38.06,5.64,7,4.59,691,52.24,94.36,86.4,13.6
31,2018,Kharif,PMFBY,Assam,18,Goalpara,287,800,760,46,0.54,324.59,6.3,0.0,0.0,85.98,14.02,0.0,0.25,25.43,26.05,48.27,35.11,57.32,7.57,5,6.3,806,71.96,92.43,94.29,5.71
32,2018,Kharif,PMFBY,Assam,18,Golaghat,288,253,255,2,0.2,121.52,2.43,0.95,0.95,75.49,24.51,0.0,1.17,7.39,58.37,33.07,34.24,65.76,0.0,6,4.34,257,50.98,100.0,99.22,0.78
33,2018,Kharif,PMFBY,Assam,18,Hailakandi,289,593,586,20,0.55,331.1,1.66,0.0,0.0,91.09,8.91,0.0,23.27,5.45,8.58,62.7,19.47,58.42,22.11,4,1.66,606,82.18,77.89,96.7,3.3
34,2018,Kharif,PMFBY,Assam,18,Jorhat,290,932,941,0,0.83,495.38,7.13,0.0,0.0,75.77,24.23,0.0,6.59,57.7,11.69,24.02,72.37,27.31,0.32,6,7.13,941,51.54,99.68,100.0,0.0
35,2018,Kharif,PMFBY,Assam,18,Kamrup,291,801,796,19,0.58,345.07,6.9,0.86,0.86,91.17,8.83,0.0,6.99,12.76,18.16,62.09,47.24,45.28,7.48,9,8.63,815,82.34,92.52,97.67,2.33
36,2018,Kharif,PMFBY,Assam,18,Kamrup Metropolitan,Unknown,287,287,0,0.22,131.62,0.21,0.0,0.0,72.13,27.87,0.0,27.87,29.62,17.07,25.44,26.48,72.82,0.7,3,0.21,287,44.26,99.3,100.0,0.0
37,2018,Kharif,PMFBY,Assam,18,Karbi Anglong,292,234,234,0,0.27,164.07,0.25,0.0,0.0,64.53,35.47,0.0,10.26,78.21,8.55,2.98,95.73,0.43,3.84,2,0.25,234,29.06,96.16,100.0,0.0
38,2018,Kharif,PMFBY,Assam,18,Karimganj,293,777,723,69,0.52,312.87,6.26,0.55,0.55,83.33,16.67,0.0,24.37,0.76,23.61,51.26,29.8,59.34,10.86,5,7.36,792,66.66,89.14,91.29,8.71
39,2018,Kharif,PMFBY,Assam,18,Lakhimpur,295,2124,1788,348,1.68,1003.81,20.08,54.26,54.26,89.93,9.97,0.1,10.81,22.28,38.76,28.15,60.58,39.28,0.14,5,128.6,2136,79.96,99.86,83.71,16.29
40,2018,Kharif,PMFBY,Assam,18,Morigaon,Unknown,140,140,0,0.1,58.71,1.17,0.69,0.69,92.14,7.86,0.0,1.43,12.14,13.57,72.86,42.86,45.71,11.43,5,2.56,140,84.28,88.57,100.0,0.0
41,2018,Kharif,PMFBY,Assam,18,Nagaon,297,6989,6926,67,4.29,2565.33,51.31,13.85,13.85,95.65,4.3,0.05,0.56,1.12,20.89,77.43,25.8,73.85,0.35,10,79.01,6993,91.35,99.65,99.04,0.96
42,2018,Kharif,PMFBY,Assam,18,Nalbari,298,2117,2258,0,1.3,776.97,15.54,1.79,1.79,99.51,0.49,0.0,7.79,21.43,11.65,59.13,76.48,22.85,0.67,5,19.12,2258,99.02,99.33,100.0,0.0
43,2018,Kharif,PMFBY,Assam,18,Sivasagar,300,306,308,0,0.25,150.8,0.47,0.0,0.0,75.65,24.35,0.0,3.57,3.9,41.56,50.97,54.22,43.83,1.95,6,0.47,308,51.3,98.05,100.0,0.0
44,2018,Kharif,PMFBY,Assam,18,Sonitpur,301,1149,1169,0,0.88,528.42,10.3,0.0,0.0,89.14,10.86,0.0,1.03,7.61,8.73,82.63,35.07,63.05,1.88,6,10.3,1169,78.28,98.12,100.0,0.0
45,2018,Kharif,PMFBY,Assam,18,Tinsukia,302,3311,2677,643,2.17,1298.54,25.97,14.41,14.41,89.16,10.78,0.06,0.51,5.6,88.01,5.88,74.46,25.48,0.06,4,54.79,3320,78.38,99.94,80.63,19.37
46,2018,Kharif,PMFBY,Assam,18,Udalguri,617,180,181,0,0.21,128.39,2.57,1.01,1.01,96.13,3.87,0.0,0.0,46.41,16.57,37.02,37.57,61.33,1.1,2,4.59,181,92.26,98.9,100.0,0.0
