"id","year","season","scheme","state_name","state_code","district_name","district_code","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
0,"2018","Kharif","PMFBY","Andhra Pradesh","28","Anantapur","502.0",11455.0,11494.0,587.0,17.44,9493.41,453.87,285.46,285.46,66.56,33.44,0.0,6.66,0.44,60.19,32.71,6.32,84.97,8.71,85.0,1024.79
1,"2018","Kharif","PMFBY","Andhra Pradesh","28","Chittoor","503.0",22511.0,23368.0,16.0,18.82,22410.65,792.39,50.93,50.93,70.52,29.42,0.06,6.41,0.81,39.9,52.88,16.82,75.32,7.86,614.0,894.25
2,"2018","Kharif","PMFBY","Andhra Pradesh","28","East Godavari","505.0",152813.0,162278.0,3516.0,97.88,71316.82,1482.17,2984.87,2984.87,64.45,35.49,0.06,4.81,1.34,37.67,56.18,12.82,81.93,5.25,1198.0,7451.91
3,"2018","Kharif","PMFBY","Andhra Pradesh","28","Guntur","506.0",18045.0,18446.0,2044.0,16.75,12411.11,255.87,128.45,128.45,65.49,34.43,0.08,5.92,0.68,47.91,45.49,23.66,69.2,7.14,402.0,512.77
4,"2018","Kharif","PMFBY","Andhra Pradesh","28","Krishna","510.0",77733.0,83378.0,215.0,60.88,56967.44,1196.91,1244.66,1244.66,68.06,31.9,0.04,5.21,0.5,34.74,59.55,31.88,60.8,7.32,836.0,3686.23
5,"2018","Kharif","PMFBY","Andhra Pradesh","28","Kurnool","511.0",59213.0,58255.0,3870.0,76.17,58474.66,2230.09,2467.13,2467.13,73.25,26.7,0.05,6.65,1.36,54.25,37.74,14.59,68.71,16.7,636.0,7164.35
6,"2018","Kharif","PMFBY","Andhra Pradesh","28","Prakasam","517.0",30066.0,10606.0,29238.0,33.18,20343.34,614.31,779.25,779.25,70.84,29.13,0.03,5.57,1.0,34.49,58.94,13.02,79.99,6.99,505.0,2172.81
7,"2018","Kharif","PMFBY","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","nan",15036.0,15599.0,48.0,19.36,13623.14,241.66,0.0,0.0,65.39,34.59,0.02,10.62,1.02,46.53,41.83,20.58,67.52,11.9,838.0,241.66
8,"2018","Kharif","PMFBY","Andhra Pradesh","28","Srikakulam","519.0",162348.0,177026.0,1464.0,120.51,91096.38,1860.72,1631.34,1631.34,74.06,25.9,0.04,1.9,2.19,68.84,27.07,11.45,83.37,5.18,1753.0,5123.4
9,"2018","Kharif","PMFBY","Andhra Pradesh","28","Visakhapatnam","nan",30121.0,29026.0,4197.0,18.86,17621.06,380.62,183.11,183.11,73.82,26.14,0.04,1.56,6.92,42.98,48.54,23.13,68.41,8.46,1033.0,746.84
